TimeStamp,Cell 1 Voltage,Cell 2 Voltage,Cell 3 Voltage,Cell 4 Voltage,Stack Voltage,Current,Cycle,Mode
2026-04-03 13:17:05.365,3.549,3.548,3.547,3.548,14.16,-0.015,1,Charge
2026-04-03 13:17:07.367,3.549,3.548,3.547,3.548,14.16,0.0,1,Charge
2026-04-03 13:17:09.374,3.549,3.548,3.547,3.548,14.15,-0.007,1,Charge
2026-04-03 13:17:11.378,3.549,3.548,3.547,3.548,14.15,0.015,1,Charge
2026-04-03 13:17:13.386,3.549,3.548,3.547,3.548,14.16,0.007,1,Charge
2026-04-03 13:17:15.387,3.549,3.548,3.547,3.547,14.15,0.0,1,Charge
2026-04-03 13:17:17.406,3.549,3.548,3.547,3.547,14.16,0.0,1,Charge
2026-04-03 13:17:19.402,3.545,3.545,3.544,3.545,14.14,-0.09,1,Charge
2026-04-03 13:17:21.409,3.545,3.545,3.544,3.545,14.13,-0.097,1,Charge
2026-04-03 13:17:23.415,3.638,3.622,3.619,3.625,14.48,2.594,1,Charge
2026-04-03 13:17:25.425,3.643,3.627,3.624,3.629,14.48,2.602,1,Charge
2026-04-03 13:17:27.428,3.646,3.63,3.627,3.632,14.49,2.594,1,Charge
2026-04-03 13:17:29.433,3.648,3.632,3.629,3.635,14.5,2.594,1,Charge
2026-04-03 13:17:31.438,3.65,3.634,3.632,3.637,14.51,2.579,1,Charge
2026-04-03 13:17:33.440,3.652,3.636,3.633,3.639,14.51,2.594,1,Charge
2026-04-03 13:17:35.445,3.654,3.638,3.636,3.641,14.52,2.617,1,Charge
2026-04-03 13:17:37.450,3.655,3.64,3.637,3.642,14.53,2.587,1,Charge
2026-04-03 13:17:39.459,3.657,3.642,3.638,3.644,14.54,2.594,1,Charge
2026-04-03 13:17:41.467,3.659,3.643,3.64,3.645,14.54,2.609,1,Charge
2026-04-03 13:17:43.475,3.66,3.644,3.642,3.647,14.56,2.609,1,Charge
2026-04-03 13:17:45.481,3.661,3.646,3.643,3.648,14.56,2.609,1,Charge
2026-04-03 13:17:47.482,3.663,3.648,3.645,3.65,14.56,2.602,1,Charge
2026-04-03 13:17:49.489,3.664,3.649,3.646,3.651,14.56,2.617,1,Charge
2026-04-03 13:17:51.501,3.665,3.65,3.647,3.652,14.58,2.624,1,Charge
2026-04-03 13:17:53.507,3.667,3.651,3.648,3.653,14.58,2.609,1,Charge
2026-04-03 13:17:55.517,3.668,3.652,3.649,3.655,14.59,2.602,1,Charge
2026-04-03 13:17:57.530,3.669,3.653,3.651,3.656,14.59,2.602,1,Charge
2026-04-03 13:17:59.530,3.67,3.655,3.652,3.657,14.6,2.587,1,Charge
2026-04-03 13:18:01.546,3.671,3.656,3.653,3.658,14.6,2.594,1,Charge
2026-04-03 13:18:03.550,3.672,3.656,3.654,3.659,14.6,2.602,1,Charge
2026-04-03 13:18:05.556,3.673,3.658,3.655,3.66,14.6,2.617,1,Charge
2026-04-03 13:18:07.562,3.674,3.659,3.655,3.66,14.61,2.609,1,Charge
2026-04-03 13:18:09.564,3.675,3.659,3.657,3.662,14.61,2.602,1,Charge
2026-04-03 13:18:11.575,3.675,3.66,3.658,3.663,14.61,2.602,1,Charge
2026-04-03 13:18:13.589,3.676,3.661,3.658,3.663,14.63,2.602,1,Charge
2026-04-03 13:18:15.597,3.677,3.662,3.659,3.664,14.62,2.609,1,Charge
2026-04-03 13:18:17.598,3.678,3.663,3.66,3.665,14.63,2.602,1,Charge
2026-04-03 13:18:19.605,3.678,3.664,3.661,3.666,14.62,2.602,1,Charge
2026-04-03 13:18:21.610,3.679,3.665,3.661,3.666,14.63,2.609,1,Charge
2026-04-03 13:18:23.620,3.68,3.665,3.662,3.667,14.64,2.609,1,Charge
2026-04-03 13:18:25.627,3.681,3.666,3.663,3.668,14.63,2.602,1,Charge
2026-04-03 13:18:27.634,3.682,3.667,3.664,3.669,14.64,2.617,1,Charge
2026-04-03 13:18:29.640,3.682,3.667,3.664,3.67,14.64,2.594,1,Charge
2026-04-03 13:18:31.645,3.683,3.668,3.665,3.67,14.64,2.609,1,Charge
2026-04-03 13:18:33.650,3.684,3.669,3.666,3.671,14.64,2.594,1,Charge
2026-04-03 13:18:35.655,3.684,3.669,3.667,3.671,14.64,2.594,1,Charge
2026-04-03 13:18:37.659,3.685,3.67,3.667,3.672,14.65,2.594,1,Charge
2026-04-03 13:18:39.665,3.685,3.671,3.668,3.672,14.65,2.602,1,Charge
2026-04-03 13:18:41.674,3.686,3.671,3.668,3.673,14.65,2.587,1,Charge
2026-04-03 13:18:43.684,3.687,3.672,3.669,3.674,14.66,2.594,1,Charge
2026-04-03 13:18:45.694,3.687,3.672,3.67,3.674,14.66,2.617,1,Charge
2026-04-03 13:18:47.700,3.687,3.673,3.67,3.675,14.66,2.602,1,Charge
2026-04-03 13:18:49.703,3.688,3.673,3.671,3.676,14.67,2.609,1,Charge
2026-04-03 13:18:51.708,3.688,3.674,3.671,3.676,14.67,2.609,1,Charge
2026-04-03 13:18:53.719,3.689,3.674,3.672,3.676,14.67,2.609,1,Charge
2026-04-03 13:18:55.724,3.689,3.675,3.672,3.677,14.67,2.617,1,Charge
2026-04-03 13:18:57.728,3.69,3.676,3.673,3.677,14.68,2.602,1,Charge
2026-04-03 13:18:59.735,3.69,3.676,3.673,3.678,14.69,2.587,1,Charge
2026-04-03 13:19:01.748,3.691,3.676,3.674,3.679,14.66,2.609,1,Charge
2026-04-03 13:19:03.755,3.691,3.677,3.674,3.679,14.68,2.594,1,Charge
2026-04-03 13:19:05.766,3.692,3.677,3.675,3.679,14.68,2.602,1,Charge
